600000.SH,600009.SH,600016.SH,600028.SH,600030.SH,600031.SH,600036.SH,600050.SH,600104.SH,600196.SH,600276.SH,600309.SH,600519.SH,600547.SH,600570.SH
0,0,0,100,0,59000,0,100000,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-100,0,-59000,0,-20900,0,28300,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,400,0,0,0,0,0,0,-28300,0,19800,0,0,0
0,0,-400,0,0,100,0,-4500,1000,0,0,0,0,0,0
0,0,0,0,0,0,0,4800,-1000,0,0,0,0,0,0
100,0,0,0,0,-100,0,-79400,100,0,18300,-19800,0,0,0
0,0,0,0,0,0,0,200,-100,0,-18300,0,0,0,18000
-100,0,0,0,0,0,0,-200,0,0,0,32600,0,0,-18000
0,0,0,0,0,100,0,100,0,0,0,0,0,0,0
0,0,0,25800,0,100000,0,-100,0,0,0,-32600,0,0,0
0,0,100,-25800,0,100,0,0,0,0,0,0,0,4700,0
0,0,0,0,0,-52900,100,0,0,0,0,0,0,15500,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,200,0,0,-47300,-100,0,0,0,0,36400,0,-20200,0
0,0,0,0,0,10700,0,0,0,0,0,-3000,0,0,0
0,0,0,100,0,46500,0,0,0,0,0,-13000,0,0,0
0,0,-300,-100,0,-57200,0,0,0,100,300,-20400,1700,0,0
0,0,0,0,0,200,0,0,0,0,-300,0,0,500,0
0,0,100,0,0,-200,0,0,0,0,0,35700,-1700,0,0
0,0,0,56700,0,100000,0,0,0,-100,0,-35700,0,-500,0
0,0,-100,-51500,100,-100000,48300,0,0,0,0,0,0,0,0
0,300,0,-5200,-100,100,0,0,0,100,0,0,0,0,0
0,0,0,400,0,-100,0,0,0,0,0,0,0,0,0
0,-300,0,0,0,0,100,0,0,-100,0,0,0,0,300
0,0,300,-400,0,0,0,0,0,0,0,0,0,0,0
0,0,0,200,13700,100000,-48400,0,0,0,0,0,0,0,0
0,0,-300,-200,-13700,-30400,0,200,200,0,0,0,0,0,10200
0,0,0,300,0,-69600,0,0,-200,0,0,0,0,31000,0
0,0,0,-300,0,0,0,0,100,0,0,40600,0,-31000,-10500
0,0,0,700,0,0,0,-200,-100,0,0,0,0,0,0
0,0,0,0,0,0,0,0,75400,0,0,-40600,0,0,0
100,0,0,-700,4500,0,0,0,-75400,0,0,0,1400,0,0
