,time,close,trade
0,2019/1/10,5.3,0.0
1,2019/1/11,5.35,0.0
2,2019/1/14,5.29,200.0
3,2019/1/15,5.33,0.0
4,2019/1/16,5.39,100.0
5,2019/1/17,5.36,0.0
6,2019/1/18,5.4,200.0
7,2019/1/2,5.01,100000.0
8,2019/1/21,5.48,93300.0
9,2019/1/22,5.38,-42100.0
10,2019/1/23,5.38,100.0
11,2019/1/24,5.43,0.0
12,2019/1/25,5.47,-3000.0
13,2019/1/28,5.55,1000.0
14,2019/1/29,5.61,-9200.0
15,2019/1/3,5.04,-55700.0
16,2019/1/30,5.63,100.0
17,2019/1/31,5.73,19100.0
18,2019/1/4,5.1,400.0
19,2019/1/7,5.18,-15700.0
20,2019/1/8,5.24,0.0
21,2019/1/9,5.35,0.0
22,2019/10/10,5.0,0.0
23,2019/10/11,5.08,-39000.0
24,2019/10/14,5.08,-49800.0
25,2019/10/15,5.04,400.0
26,2019/10/16,5.05,0.0
27,2019/10/17,5.04,0.0
28,2019/10/18,4.99,900.0
29,2019/10/21,4.98,0.0
30,2019/10/22,4.98,-1300.0
31,2019/10/23,4.97,200.0
32,2019/10/24,4.99,-200.0
33,2019/10/25,5.0,0.0
34,2019/10/28,5.01,100.0
35,2019/10/29,4.99,100.0
36,2019/10/30,4.96,0.0
37,2019/10/31,4.9,0.0
38,2019/10/8,5.0,-200.0
39,2019/10/9,5.01,1200.0
40,2019/11/1,4.89,0.0
41,2019/11/11,4.86,0.0
42,2019/11/12,4.87,0.0
43,2019/11/13,4.87,0.0
44,2019/11/14,4.85,0.0
45,2019/11/15,4.85,0.0
46,2019/11/18,4.91,0.0
47,2019/11/19,4.9,-1200.0
48,2019/11/20,4.92,0.0
49,2019/11/21,4.94,0.0
50,2019/11/22,4.94,0.0
51,2019/11/25,5.02,0.0
52,2019/11/26,5.03,0.0
53,2019/11/27,5.02,0.0
54,2019/11/28,5.01,0.0
55,2019/11/29,4.99,400.0
56,2019/11/4,4.9,100.0
57,2019/11/5,4.93,0.0
58,2019/11/6,4.93,0.0
59,2019/11/7,4.94,0.0
60,2019/11/8,4.93,100.0
61,2019/12/10,4.94,0.0
62,2019/12/11,4.96,100.0
63,2019/12/12,4.95,0.0
64,2019/12/13,4.99,0.0
65,2019/12/16,5.01,-700.0
66,2019/12/17,5.08,0.0
67,2019/12/18,5.07,0.0
68,2019/12/19,5.06,0.0
69,2019/12/2,4.95,0.0
70,2019/12/20,5.05,200.0
71,2019/12/23,4.99,0.0
72,2019/12/24,5.02,0.0
73,2019/12/25,5.01,100.0
74,2019/12/26,5.02,-300.0
75,2019/12/27,5.05,0.0
76,2019/12/3,4.93,0.0
77,2019/12/30,5.08,0.0
78,2019/12/31,5.11,100.0
79,2019/12/4,4.91,100000.0
80,2019/12/5,4.93,0.0
81,2019/12/6,4.92,0.0
82,2019/12/9,4.95,0.0
83,2019/2/1,5.74,-100000.0
84,2019/2/11,5.7,-100.0
85,2019/2/12,5.69,0.0
86,2019/2/13,5.86,0.0
87,2019/2/14,5.84,300.0
88,2019/2/15,5.75,0.0
89,2019/2/18,5.9,0.0
90,2019/2/19,5.88,-300.0
91,2019/2/20,5.9,300.0
92,2019/2/21,5.87,0.0
